Belgian Pale Ale;Belgian Pale Ales are light to medium ales that have a mild aroma and low hops bitterness. The color is usually light golden to amber in color, occasionally even a darker amber. The aroma has minimal hops notes, with a mild malt and fruity sweetness. There may even be a mild spicy tone in the aroma. The taste also has minimal hops bitterness. The mild malt sweetness is also notable in the flavor, along with a minor caramel or toasted grain taste. Feel should be on the low to medium side. ABV ranges from 4% to 6%. IBUs are generally low and range from 20 to 30.;;;;;;;;;;;;;;;;;;;;
Belgian Tripel;Belgian Tripels are highlighted by complex, spicy flavors. The color is generally pale to medium golden. The aroma has fruity/banana esters, with notes of sweetness and spices. The taste has balanced malt and hop notes, with a slightly sweet finish. The taste should also have subtle but notable alcohol presence. Feel should be medium bodied. Due to the high alcohol content, this style also tends to age well over a period of years. ABV should range from 7% to 10% or slightly higher. IBUs should be somewhat low, in the range of 25 to 35.;;;;;;;;;;;;;;;;;;;;
Berliner Weisse;The Berliner Weisse is a favorite summer wheat beer style for many fans of the microbeer hobby. It is characterized by light color, taste and feel. The color should be very pale golden, with a notable cloudiness. The unique combination of yeast and acids in fermentation give this style its signature tones of citrus and slight acidity. The aroma and taste have notable tones of lemon and citrus. Hop notes should not be present in either aroma or taste. There may also be a slight residual sweetness in the taste. The feel is highlighted by a high level of carbonation, but is very light bodied, which lends itself to being a summer beer. ABV should be fairly low in the range of 2.8% to 3.5%. IBUs should be similarly very low.;;;;;;;;;;;;;;;;;;;;
Best Bitter;The English Session or Ordinary Bitter is pale gold to copper in color. The aroma is mild with a semi-sweet grain smell, occasionally having notable but not strong hop notes. Notes of butterscotch may also be present. The taste is equally muted, with hops somewhat subdued and a slight sweetness. The feel should be equally muted with light or medium body. The bottom line is that this style is a session beer and should be light enough to drink multiple pints in a sitting. ABV should range from 3% to 3.7%. IBUs should be somewhat low, from 20 to 35;;;;;;;;;;;;;;;;;;;;
Biere de Garde;"Bi?re de Garde translates to ""keeping beer"" in French. Similar to Saison in its history, these beers were usually brewed in the winter and spring, and cellared for a time after bottling. They were originally intended for drinking later in the year. The color ranges widely from golden to copper to brown to almost black. The aroma has notes of toasted malts along with a slight malt sweetness and a slightly ""bready or yeasty"" smell. It should also have low to medium hop bitterness. The taste should also show similar toasted malts and malt sweetness, along with the ""yeasty"" taste. Alcohol should also be evident. The feel should be light to medium. ABV should be in the range of 4.5% to 8%. IBUs should be around 25 to 35.";;;;;;;;;;;;;;;;;;;;
Black IPA;The Black IPA is typically an IPA brewed with dark malts and has a darker color than the standard India Pale Ale. The color should range from dark brown to black. Along with the usual highly notable hop notes in an IPA, there should also be notable malt and roasted grain flavors. ABV usually ranges from 4% to 10%.;;;;;;;;;;;;;;;;;;;;
Blonde Ale;Dry, light to medium body with light malty sweetness. Low to medium hop bitterness with minimal aroma. Slight fruit flavor. Light yellow to golden blonde color with no chill haze. Med to high carbonation. All malt, dry, crisp beer approximating a lager in overall character. Enjoying a resurgence at many microbreweries as an alternative to American style lagers.;;;;;;;;;;;;;;;;;;;;
British Brown Ale;"The term ""English Brown Ale"" encompasses a range of styles that include Nut Brown Ales, certain mild ales and several differing styles that use dark or brown malts in the brewing process. The color should be dark copper to brown. The aroma is highlighted by roasted, caramel or other dark malts. This lends a malty sweetness. Fruit notes, sometimes bananas or sweetness, should also be apparent. Very little to no hop notes should be present. The taste should have should have an equal malt sweetness, with notes of fruity esters and toasted or roasted tones as well. The feel should medium, with a dry sweetness. ABV ranges from 4% to 5.5%. IBUs should be low, ranging from 15 to 25.";;;;;;;;;;;;;;;;;;;;
British Golden Ale;Well-hopped, quenching beer with an emphasis on showcasing hops. Served colder than traditional bitters, this style was originally positioned as a refreshing summer beer, but is now often brewed year-round. Although early on the beers were brewed with English hops, increasingly American citrus-flavored hops are used. Golden Ales are also called Golden Bitters, Summer Ales, or British Blonde Ales. Can be found in cask, keg, and bottle.;;;;;;;;;;;;;;;;;;;;
British Strong Ale;English Strong Ale is a strong pale ale with ABV usually above 5%. The malt sweetness and fruity esters are far more obvious than the hop tones. The color should be pale amber to medium red-brown. Aroma should highlight the malt tones, with caramel and sweetness apparent. The taste should equally concentrate on the malts, with caramel and sweetness apparent as in the aroma. The feel should be medium to full bodied. ABV should range from 7% to 11%. IBUs should range from 30 to 65.;;;;;;;;;;;;;;;;;;;;
Brown IPA;The modern English IPA has a medium hop bitterness, with medium alcohol content. The bitterness level is notably less than the American IPA. The color should be pale gold to dark copper. The aroma should have a decently strong hop profile, with a flowery essence and many hop varieties possibly used to create an herbal hop character. The taste should be highlighted by the hops with medium levels of malt sweetness. The feel should be crisp and dry. ABV should range from 5% to 7%. IBUs should be mid-range from 35 to 63.;;;;;;;;;;;;;;;;;;;;
California Common;California Common Beer varies in color from light to dark amber. The aroma usually has smells of caramel, grains and low hop notes. The taste follows the smell, and has caramel malt tastes along with minor hop bitterness. The feel should be medium. ABV ranged from 4% to 5.5%. IBUs are in the middle of the range at 35 to 45. ;;;;;;;;;;;;;;;;;;;;
Cream Ale;Cream Ales are mild and pale ales that use warm fermentation and cold lagering. The color should be light, ranging from a pale yellow to golden. The aroma should be very muted and hop notes are often absent. The taste should be similarly muted, with a crisp taste but a minimal hop and malt taste. The feel is light and clean, with a crisp finish. ABV ranges from 4% to 5.6%. IBUs are generally low and range from 10 to 20.;;;;;;;;;;;;;;;;;;;;
Czech Amber Lager;The style can be similar to a Vienna lager but with Saazer-type hop character, or that approaching an English bitter but significantly richer with more of a deep caramel character. Large brewery versions are generally similar to Czech Premium Pale Lager with slightly darker malt flavors and less hop, while smaller breweries often make versions with considerable hop character, malt complexity, or residual sweetness.;;;;;;;;;;;;;;;;;;;;
Czech Dark Lager;"This dark lager starts off by offering up flavours of toasted bread and nuts, roasted grains and a slight hint of chocolate. Restrained treacle sweetness surfaces mid-sip, with faint woodsmoke and coffee grounds; finishes with an herbal, earthy hop bitterness with just a touch of spice - not unlike their flagship pilsener, though the dark malts give this one a more robust flavour that lasts to the finish, and lingers thereafter. Fairly light in body, with a smooth texture and relatively mild carbonation that gently nudges the surface of the palate. Highly drinkable, with a balanced, approachable flavour profile.";;;;;;;;;;;;;;;;;;;;
Czech Pale Lager;While called a pale lager, the actual color is more golden (light gold to deep gold) rather than straw or yellow. The deep gold color can almost touch the amber range. A white, per-sistent head is characteristic, and the clarity is normally good (maybe not quite as clear as German Pils examples). The body is in the medium-light to medium range, again a bit more than German counterparts.;;;;;;;;;;;;;;;;;;;;
Czech Premium Pale Lager;Rich, characterful, pale Czech lager, with considerable malt and hop character and a long, rounded finish. Complex yet well-balanced and refreshing. The malt flavors are complex for a Pilsner-type beer, and the bitterness is strong but clean and without harshness, which gives a rounded impression that enhances drinkability.;;;;;;;;;;;;;;;;;;;;
Dark Mild;The quintessential British session beer, like its name suggests, a Mild is known for its low level of hops character. Alcohol content is traditionally very low. Grainy to toasty malts might be present, but expect some body from the high dextrins produced in brewing. Low carbonation with a near still, bubbly head. Colors can range from gold to dark brown. Traditionally a draft beer made popular in London and the Midlands of England.;;;;;;;;;;;;;;;;;;;;
Doppelbock;"Doppelbock (translates to ""double bock"" in German) is a Bavarian beer style that was yet another German style to find its origins by being brewed by monks in centuries past. Along with bocks in general, it was considered ""liquid bread"" by the monks in times of fasting. The color should range from dark copper to dark brown, but can sometimes be somewhat pale. The aroma should have have a very strong malt sweetness present, with toasted grains notable. Alcohol aroma may also be present. Finally, there may also be hints of chocolate and dark fruits. The taste should also center on the malts, with toasted bread notes and a somewhat notable alcohol taste. There should also be a semi-sweet or outright sweet malt taste, and very little or no hop flavors. The feel should be full bodied. ABV ranges from 6% to 10%. IBUs should be fairly low between 17 to 27.";;;;;;;;;;;;;;;;;;;;
Double IPA;"Take an India Pale Ale and feed it steroids, ergo the term Double IPA. Although open to the same interpretation as its sister styles, you should expect something robust, malty, alcoholic and with a hop profile that might rip your tongue out. The Imperial usage comes from Russian Imperial stout, a style of strong stout originally brewed in England for the Russian Imperial Court of the late 1700s; though Double IPA is often the preferred name.";;;;;;;;;;;;;;;;;;;;
Dunkles Bock;"The term ""dunkel"" is the German word for ""dark"". In general, the ""style"" covers a range of lager beers that are notably darker than the other German lager styles. The color should range from medium amber to red-brown. Like many other dark beers, the malts should overshadow the hops in the aroma and flavor.";;;;;;;;;;;;;;;;;;;;
Dunkles Weissbier;"Dunkel Weizen translates to ""dark wheat"" in German. This dark wheat ale is a great fall and winter style, as it has strong flavors of sweet or semi-sweet malts and mild roasted qualities. The color should be copper to dark brown. The aroma should have distinct malt sweetness and chocolate and roasted qualities. Hop aroma should not be notable. The flavor should follow the aroma, with malts very dominant in sweetness and roasted flavors. Hop flavor should also be mostly absent. The feel should be medium to strong and should be fairly well carbonated. ABV should range from 4.8% to 5.4%. IBUs should be low and range from 10 to 15.";;;;;;;;;;;;;;;;;;;;
Eisbock;Eisbock was originally discovered in Kulmbach, Bavaria by removing ice from partially frozen barrels of beer. This is a traditional style that is typically made by freeze distilling a doppelbock and removing the resulting ice. This provides a concentrated flavor and boosts the alcohol (upwards of 12% to 14%).The color should be deep copper to dark brown. The aroma should be dominated by the malt characteristics, with malt sweetness very evident. Other smells like dark fruits, caramel and chocolate can be present. Hop aroma should be nonexistent. The taste should follow the aroma, with malty sweetness dominant. Other flavors like dark fruits, caramel, a hint of chocolate and toasted notes also can be evident. Also, alcohol should be very obvious in the taste. The feel should be full bodied. ABV should range from 8% to 14%. IBUs should be somewhat low in the range of 26 to 33.;;;;;;;;;;;;;;;;;;;;
English Barleywine;The English Barleywine is generally a less bitter version of the American Barleywine. Hop notes are subdued because English hop varieties are usually (but not always) used in the style. Like the American Barleywine, this basic barleywine style is intended to be appreciated for the complexity of the flavors. The high alcohol content generally means that it can be aged for long periods, sometimes many years.The color should range from medium copper to Dark brown to black in some examples. The aroma should be very strong and dominated by the high malty sweetness. There should also be notes of fruits, toasted grains and caramel. Alcohol notes should be strong. Hop notes should be very subdued or nonexistent. The taste should also be dominated by the malts and alcohol, similar to the aroma. The feel should be very full bodied. ABV generally ranges from 8% to 12% and sometimes considerably higher. IBUs should range from 40 to 60.;;;;;;;;;;;;;;;;;;;;
English IPA;The modern English IPA has a medium hop bitterness, with medium alcohol content. The bitterness level is notably less than the American IPA. The color should be pale gold to dark copper. The aroma should have a decently strong hop profile, with a flowery essence and many hop varieties possibly used to create an herbal hop character. The taste should be highlighted by the hops with medium levels of malt sweetness. The feel should be crisp and dry. ABV should range from 5% to 7%. IBUs should be mid-range from 35 to 63. ;;;;;;;;;;;;;;;;;;;;
English Porter;The English Porter has a history dating back to 1721, when it was first mentioned. The color of the English Porter should range from light brown to dark brown, almost black. The aroma should have a strong malt presence, with notes of chocolate, coffee, and roasted grains. The taste should focus on the malts, with roasted malts, toffee, caramel and nutty tones present. Other flavors may include coffee, bready yeast and toasted rye bread. Hop presence in both aroma and flavor should be minimal. The feel should be medium bodied. ABV ranges from 4% to 5.4%. IBUs should range from 18 to 35.;;;;;;;;;;;;;;;;;;;;
Festbier;Friendship and camaraderie: the two keys to any festive event. And then there’s the beer. It should be full-bodied, yet infinitely smooth. Seductively malty, with a kiss of the hops for balance. This is our Festbier. Painstakingly crafted from German malts, decoction brewed for full flavor and carefully aged for depth of character. Gather with your friends for a festive moment of Victory!;;;;;;;;;;;;;;;;;;;;
Flanders Red Ale;The Flanders Red Ale is a Belgian-style sour ale similar to the Flanders Brown Ale (or Oud Bruin). The style is highlighted by a strong sour aroma and taste and minimal hop presence. Much like the Flanders Brown Ale, this style also gets a long period of aging of a year or more. Aging for this style is often done in oak barrels, lending a further acid character to the style. Quite often, an aged batch is blended with a younger batch to balance the sour notes. The color should be dark red to brown, with a notable clarity. The aroma has strong fruit smells, like citrus, sour cherries and dark fruits. There should also be notes of vanilla from the oak aging, and sometimes has chocolate and malt notes as well. The sourness of the style should be apparent in the aroma. The taste follows the smell closely, with strong fruit flavors dominating along with the sourness and acidity. The feel should be medium bodied, with the acidity standing out. ABV should range from 4.6% to 6.5%. IBUs should be low, ranging from 10 to 25.;;;;;;;;;;;;;;;;;;;;
Foreign Extra Stout;The Foreign or Extra Stout is similar to a Dry Stout in that they have a malty sweetness and notes of caramel. They also have a dry finish with a slight roasted bitterness. The color should be dark brown to black. The aroma should have a decent malt sweetness, caramel, roasted grains, and a slight coffee smell. The taste should mirror the aroma, with roasted malts, caramel, coffee and a very slight bitterness. There may also be a hint of chocolate or cocoa powder. The feel should be medium to full bodied. ABV ranges from 5.7% to 7.5%. IBUs should be between 30 to 60.;;;;;;;;;;;;;;;;;;;;
Fruit Lambic;A Fruit Beer is a beer brewed with a fruit or vegetable in the mash or with flavoring added in the fermentation. The most recognized example of a Fruit Beer is probably the Belgian Lambic. Fr?li is a fruit beer made from 70% wheat beer and 30% fruit juice. The most notable example of Vegetable Beers are probably Pumpkin Ales. Other examples include Chili Beer and other beers that use vegetable additions.The color, aroma and taste of the style ranges widely based on the fruit or vegetable additions in the brewing or fermenting process as well as the base beer style used. The color can range from pale yellow to dark brown. The aroma should have strong notes of the fruit or vegetable used, with hop notes minimal or nonexistent. The taste should follow the aroma, with hop bitterness most likely not apparent. There may also be notable acidity in some examples of the styles. The feel ranges from crisp and light to medium bodied. ABV ranges widely depending on the base beer style, from 2.5% to 12% or higher. IBUs also vary widely depending on the base beer style, and range from very low (5) to somewhat high (70).;;;;;;;;;;;;;;;;;;;;
German Helles Exportbier;Helles is among the few beer styles with a definite birthday. The Spaten Brewery of Munich shipped the first cask of it on March 21, 1894. Interestingly, the destination was not a local beerhall, as you might have suspected. Rather, it was the far-away port city of Hamburg, in Prussian territory, on the North Sea. The Bavarians and the Prussians have never been too fond of each other. So Spaten did what we would now call test marketing. If the beer flopped among the Prussians near the ocean, none of its regular brown-lager drinkers at home, near the foothills of the Bavarian Alps, would take notice.;;;;;;;;;;;;;;;;;;;;
German Leichtbier;"German Leichtbier, or “light beer” is one of the lowest selling beers in the whole of Germany. You see, German palates apparently don’t follow American trends. They don’t care that Bud Light is the best selling name in beer. Well, they might, but that doesn’t make them want to fork over their hard earned Euros for a pint that hovers just above the non-alcoholic threshold.
Alright – so 2%-3.5% is significantly above .5%, but you get the idea. By the way, in case you were wondering, it’s pronounced LYSHT. Lie and sht – like you’re telling your yappy dog to cork it Cesar Millan style.";;;;;;;;;;;;;;;;;;;;
German Pils;The German Pilsener is pale yellow to gold in color. The aroma is somewhat muted, but dominated by the hops. There should also be a notable malty sweetness in the smell. The taste should also be dominated by a notable hop bitterness, but is should not be overwhelming. A mild malt sweetness should also be apparent. The feel should be medium bodied. ABV should range from 4% to 5%. IBUs should be between 30 to 40.;;;;;;;;;;;;;;;;;;;;
Gose;"Gose is a German wheat beer that was first brewed in the 1700s in the town of Goslar, Germany. It is also known as a traditional style in Leipzig, Germany. It is a top-fermented, ""pre-lager"" beer style. The beers typically have a moderate alcohol content of 4 to 5% ABV. Dominant flavors in Gose include a lemon tartness, a herbal characteristic, and a strong saltiness (the result of either local water sources or added salt). Gose beers typically do not have prominent hop bitterness, flavors, or aroma.";;;;;;;;;;;;;;;;;;;;
Gueuze;Gueuze is a type of Belgian Lambic beer that is made by blending a younger lambic (1 year old) with an older lambic (2-3 years old). This is then bottled for a secondary fermentation in the bottle. Most examples of the Gueuze style can handle long periods of aging, with the Cantillon Lou Pepe label noting that it can be aged for up to 20 years. Kriek is a closely related lambic that uses sour cherries before bottling.The color should be pale yellow, and somewhat cloudy. The aroma should have a very strong sour presence, with notes of green apples, cider, citrus rind and a notable acidity. Some brewers add sugar to the fermentation to dull the sour edge of the style. The taste should follow the aroma, with sourness being the primary flavor. There should also be strong notes of citrus, acidity and possibly a very slight sweet aftertaste. Hop bitterness should not be noticed at all. The feel should be light, with very high carbonation. ABV should be from 5% to 6%. IBUs should be very low at 11 to 23.;;;;;;;;;;;;;;;;;;;;
Helles Bock;The Maibock style of beer tends to be lighter in color than other Bock beers and often has a significant hop character with a noticeable alcohol around the same as a traditional Bock. Maibocks are customarily served in the spring and are oftentimes interrelated with spring festivals and celebrations more often in the month of May.;;;;;;;;;;;;;;;;;;;;
Imperial Stout;The American Double (or Imperial) Stout is one style that virtually every microbeer fan knows well. The style is a derivative of the Russian Imperial Stout and therefore has the same robust flavor and feel. It has a very notable malt character to go along with the very dark or black color. There also should be hints of dark fruits, chocolate, roasted grains and other strong aromas and flavors. This style lends itself to strong flavor additions like chocolate and coffee. The alcohol content of the style is almost always high. Hop bitterness is also usually more notable than other stout styles, but is balanced well with the sweetness, roastiness and richness of the malt character. ABV is usually in the range of 7% to 12% or higher. IBUs are usually from 50 to 80.;;;;;;;;;;;;;;;;;;;;
International Amber Lager;"Some people love the color and briskness of the fall season; others are sorry to see the slide into winter. However you view the coming of the cold months, the beers of fall, with their autumnal colors and warm, comforting maltiness can be reason enough to look forward to the season.";;;;;;;;;;;;;;;;;;;;
International Dark Lager;Tip Back a Bock. Brewed with rich roasted barley malt and German specialty hops, this lighlty hopped American-style dark lager always goes down easy. Originally a seasonal beer, fans have demanded it year-round since 1973.;;;;;;;;;;;;;;;;;;;;
International Pale Lager;No matter where one is in the world, a quenching pale lager is seldom far away. Nearly every country that has a brewery has one, which in many cases is considered the national beer. The far-reaching consequences of these German- and Bohemian-inspired brews is significant not only as a satiating provision, but often as a sort of identity. Many European breweries adopted the style and shifted their focus in response to the popularity of the originals a century and a half ago. The rest of the world followed closely behind. Most resemble pilsners with a modest hop character, yet other versions rely more on a malt background reminiscent of a helles lagerbier. ;;;;;;;;;;;;;;;;;;;;
Irish Extra Stout;Our Irish-Style Extra Stout amplifies the traditional drier versions from Ireland for a bolder, black brew. The addition of both roasted barley and Dark Crystal malted barley give Extra Stout undertones of chocolate, molasses and dried fruit. The beer is generously hopped with East Kent Goldings to balance the sweetness from the malted barley. Extra Stout is a descendent of the British and Irish porters of the 18th Century. These strong porters eventually became known as strong stout, then Foreign Stout or Extra Stout, depending on origin. Extra Stouts were exported world-wide, gaining popularity in the West Indies, Africa and parts of Asia.;;;;;;;;;;;;;;;;;;;;
Irish Red Ale;Irish Red Ales get their distinctive color from the use of a small amount of roasted barley. They range in color from light red-amber to light red-brown. The aroma should have a notable caramel sweetness, with virtually no hop presence. The taste should likewise have a caramel malt sweetness, with little or no hop bitterness. The feel should have a medium body. ABV ranges from 4% to 4.5%. IBUs range from 20 to 30.;;;;;;;;;;;;;;;;;;;;
Irish Stout;"One of the most common stouts, Dry Irish Stout tend to have light-ish bodies to keep them on the highly drinkable side. They're usually a lower carbonation brew and served on a nitro system for that creamy, masking effect. Bitterness comes from both roasted barley and a generous dose of hops, though the roasted character will be more noticeable. Examples of the style are, of course, the big three, Murphy's, Beamish, and Guinness, however there are many American brewed Dry Stouts that are comparable, if not better.
";;;;;;;;;;;;;;;;;;;;
Kolsch;"K?lsch is a local specialty in Cologne, Germany. It has less hop bitterness that other German styles, and is more related in brewing style to Altbier (top-fermented at a warmer temperature and lagered). The color of a ""true"" K?lsch should be pale yellow to straw gold. The aroma has notes of subtle wheat/malt sweetness and possibly a light fruit tone. Low hop notes should be apparent. The taste should also have a subtle wheat/malt sweetness, with a slight hop bitterness that may mot be apparent in the smell. The feel should be light and crisp. ABV should be 4.8% to 5.3%. IBUs should be low at 18 to 25.";;;;;;;;;;;;;;;;;;;;
Kentucky Common;Kentucky Common is a modern interpretation of an ale style native to pre-prohibition Louisville. Historically the beer was dark in color, creamy, and tart as a result of the introduction of lactobacillus bacteria by sour mashing. Local Option Bierkwerker took up the task of brewing this once familiar style - electing to use specialty grains rather than a large percentage of corn - yielding an adventurous taste profile befitting both conventional and courageous palates.;;;;;;;;;;;;;;;;;;;;
Lambic;"An unblended Lambic is a very sour beer that is difficult to find outside Belgium. The color should be pale lemon yellow, with a notable cloudiness. The aroma should have an intense sour tone, with a notable acidity. Malt sweetness should not be present, and hop notes should also not be present. The taste should be equally sour, with notes of green apples, citrus rind bitterness and a ""barnyard funk"" taste from the Brettanomyces yeast. Some would describe ""barnyard funk"" as hay, leather and grassy characteristics. The feel should be very dry and light bodied. ABV is 5% to 6%. IBUs are very low, at 11 to 23.";;;;;;;;;;;;;;;;;;;;
