;beer_style;description
61;English Pale Ale;The English Pale Ale can be traced back to the city of Burton-upon-Trent, a city with an abundance of rich hard water. This hard water helps with the clarity as well as enhancing the hop bitterness. This ale can be from golden to reddish amber in color with generally a good head retention. A mix of fruity, hoppy, earthy, buttery and malty aromas and flavors can be found. Typically all ingredients are English.
62;Belgian IPA;"""The Belgian IPA combines the hoppy character of the American IPA style with the spicy notes or fruity esters of many Belgian styles. The base style that is usually used is a Tripel. Therefore, the color tends to be lighter colored and higher in alcohol. Since this is essentially a """"Euro IPA"""", brewers tend to use European hop varieties in the brewing process. This gives it a somewhat more subdued hop profile when compared to American IPAs."""
63;Tripel;"The name ""Tripel"" actually stems from part of the brewing process, in which brewers use up to three times the amount of malt than a standard Trappist ""Simple."" Traditionally, Tripels are bright yellow to gold in color, which is a shade or two darker than the average Pilsener. Head should be big, dense and creamy. Aroma and flavor runs along complex, spicy phenolic, powdery yeast, fruity/estery with a sweet finish. Sweetness comes from both the pale malts and the higher alcohol. Bitterness is up there for a beer with such a light body for its strength, but at times is barely perceived amongst the even balance of malts and hops. The lighter body comes from the use of Belgian candy sugar (up to 25% sucrose), which not only lightens the body, but also adds complex alcoholic aromas and flavors. Small amounts of spices are sometimes added as well. Tripels are actually notoriously alcoholic, yet the best crafted ones hide this character quite evil-like and deceivingly, making them sipping beers.
"
64;Flanders Oud Bruin;Oud Bruins, not restricted to, but concentrated in Flanders, are light to medium-bodied, deep copper to brown in colour. They are extremely varied, characterized by a slight vinegar or lactic sourness and spiciness to smooth and sweet. A fruity-estery character is apparent with no hop flavor or aroma. Low to medium bitterness. Very small quantities of diacetyl are acceptable. Roasted malt character in aroma and flavor is acceptable, at low levels. Oak-like or woody characters may be pleasantly integrated into overall palate. Typically old and new Brown ales are blended, like Lambics.
65;American Brown Ale;American Brown Ales are malty, slightly sweet and full of flavor. Aroma usually has caramel malt or nutty characteristics. Hop notes should be muted, although some examples have a mild citrus character due to the hop varieties used. Color should be brown to reddish-brown. ABV is usually in the 4% to 6.4% range. IBU range should be 24 to 45.
66;Winter Warmer;These malty sweet offerings tend to be a favorite winter seasonal. Big malt presence, both in flavor and body. The color ranges from brownish reds to nearly pitch black. Hop bitterness is generally low, leveled and balanced, but hop character can be pronounced. Alcohol warmth is not uncommon.
67;Smoked Beer;Not to be confused with a traditional Rauchbier, a Smoked Beer can be quiet a robust, even an overpowering beer, more so with versions that use peat smoked malt which carries a cloying smoked flavor that can ruin a beer in excess. Peat smoked malts are used in many other styles, like Scotch Ales in a liberal way though many American brewers use more typically in Porters. The flavor of peat smoke tends to be much stronger and more assertive so brewers use very modest amounts in the mash.
68;Dubbel;The Belgian Dubbel is a rich malty beer with some spicy / phenolic and mild alcoholic characteristics. Not as much fruitiness as the Belgian Strong Dark Ale but some dark fruit aromas and flavors may be present. Mild hop bitterness with no lingering hop flavors. It may show traits of a steely caramel flavor from the use of crystal malt or dark candy sugar. Look for a medium to full body with an expressive carbonation.
69;Flanders Red Ale;The Flanders Red Ale is a Belgian-style sour ale similar to the Flanders Brown Ale (or Oud Bruin). The style is highlighted by a strong sour aroma and taste and minimal hop presence. Much like the Flanders Brown Ale, this style also gets a long period of aging of a year or more. Aging for this style is often done in oak barrels, lending a further acid character to the style. Quite often, an aged batch is blended with a younger batch to balance the sour notes. The color should be dark red to brown, with a notable clarity. The aroma has strong fruit smells, like citrus, sour cherries and dark fruits. There should also be notes of vanilla from the oak aging, and sometimes has chocolate and malt notes as well. The sourness of the style should be apparent in the aroma. The taste follows the smell closely, with strong fruit flavors dominating along with the sourness and acidity. The feel should be medium bodied, with the acidity standing out. ABV should range from 4.6% to 6.5%. IBUs should be low, ranging from 10 to 25.
70;Dunkelweizen;"Similar to a Hefeweizen, these southern Germany wheat beers are brewed as darker versions (Dunkel means ""dark"") with deliciously complex malts and a low balancing bitterness. Most are brown and murky (from the yeast). The usual clove and fruity (banana) characters will be present, some may even taste like banana bread."
71;Roggenbier;A traditional German style rye beer that typically contains very large portions of rye. Expect a very pronounced spiciness and sour-like rye character, malty flavor, and a clean hop character. Often unfiltered and bottle-conditioned, Roggenbiers tend to be rather turbid and foamy.
72;Keller Bier / Zwickel Bier;A rather old, rare, and unique German beer style, Kellerbiers are unfiltered and unpasteurized lagers that date back to at least the Middle Ages. The beer is matured, unbunged (beer is exposed), in deep vaults. The final product is a smooth, naturally cloudy beer that's rich in vitamins (from the yeast). Hop bitterness can be high and alcohol will vary. Zwickel Bier is similar to a Keller, but not as pronounced.
73;Belgian Dark Ale;Belgian Darks offer a massive range of characters. Colors play within the amber to light brown to deep garnet hues, with thick, rocky heads of great retention. Aromas can be anywhere from traces of yeast, spiced, malty, floral and even slightly intoxicating. Flavors from dry and spiced, to sweet and malty. Most have a low level of bitterness.
74;Biere de Garde;The Biere de Garde is golden to deep copper or light brown in color. They are moderate to medium in body. This style of beer is characterized by a toasted malt aroma, slight malt sweetness in flavor, and medium hop bitterness. Noble-type hop aromas and flavors should be low to medium. Fruity esters can be light to medium in intensity. Flavor of alcohol is evident. Earthy, cellar-like, musty aromas and flavors are okay. Diacetyl should not be perceived but chill haze is okay. Often bottle conditioned with some yeast character.
75;Japanese Rice Lager;Similar to Macro / Adjunct Lagers, wherein the beer's grist bill is cut by using large portions of rice, but not enough to be classified as Happoshu. Pale yellow in color, soft hop nose, and expect a rounded, firm malty character, moderate bitterness, and a trademark dry finish.
76;Black & Tan;This applies to pre-blended packaged beers, where a brewery will blend a dark ale with a light ale or lager. It's by no means a traditional style of beer, but rather brewers capitalizing on the concept practiced at bars where the beers are physically layered.
77;Irish Red Ale;Irish Red Ales get their distinctive color from the use of a small amount of roasted barley. They range in color from light red-amber to light red-brown. The aroma should have a notable caramel sweetness, with virtually no hop presence. The taste should likewise have a caramel malt sweetness, with little or no hop bitterness. The feel should have a medium body. ABV ranges from 4% to 4.5%. IBUs range from 20 to 30.
78;Chile Beer;Typically basic light colored ales, but sometimes lagers, brewers will add various hot pepper juice, oils, or actual peppers to the beer - jalape?o chiles being the most common pepper used. Hotness can range from a subtle spiciness to palate scorching.
79;English Stout;As mysterious as they look, stouts are typically dark brown to pitch black in color. A common profile amongst Stouts, but not in all cases, is the use of roasted barley (unmalted barley that is kilned to the point of being charred) which lends a dry character to the beer as well as a huge roasted flavor that can range from burnt to coffee to chocolate. A different balance of hops is up to the brewers preference, but the roasted character must be there.
80;Cream Ale;Cream Ales are mild and pale ales that use warm fermentation and cold lagering. The color should be light, ranging from a pale yellow to golden. The aroma should be very muted and hop notes are often absent. The taste should be similarly muted, with a crisp taste but a minimal hop and malt taste. The feel is light and clean, with a crisp finish. ABV ranges from 4% to 5.6%. IBUs are generally low and range from 10 to 20.
81;American Wild Ale;"Sometimes Belgian influenced, American Wild Ales are beers that are introduced to ""wild"" yeast or bacteria, such as: Brettanomyces (Brettanomyces Bruxellensis, Brettanomyces Lambicus or Brettanomyces Anomolus), Pediococcus or Lactobacillus. This introduction may occur from oak barrels that have been previously inoculated, pitched into the beer, or gained from various ""sour mash"" techniques. Regardless of which and how, these little creatures often leave a funky calling card that can be quite strange, interesting, pleasing to many, but also often deemed as undesirable by many."
82;American Double / Imperial Pilsner;Similar to a Pilsner in appearance, but expect a more pronounced malty backbone and an intense bitterness. Malt flavors tend to be quite sweet in many examples. Alcohol can be quite aggressive and lend some spicy notes to the flavor.
