type;varietal;food
Red Wine;Rioja, Red;Wild Mushrooms
Red Wine;Pinot Noir;Wild Mushrooms
Red Wine;Merlot;Wild Mushrooms
Red Wine;Chianti Classico, Riserva DOCG;Wild Mushrooms
White Wine;Chardonnay;Wild Mushrooms
Red Wine;Chateauneuf du Pape, Red;Wild Mushrooms
Red Wine;Beaujolais;Wild Mushrooms
Red Wine;Barolo;Wild Mushrooms
Red Wine;Barbera DOC;Wild Mushrooms
Red Wine;Barbaresco DOCG;Wild Mushrooms
Red Wine;Zinfandel;Wild Boar Roasted
Red Wine;Syrah;Wild Boar Roasted
Red Wine;Super Tuscan;Wild Boar Roasted
Red Wine;Shiraz;Wild Boar Roasted
Red Wine;Barolo;Wild Boar Roasted
Red Wine;Zinfandel;Wild Boar Grilled
Red Wine;Syrah;Wild Boar Grilled
Red Wine;Shiraz;Wild Boar Grilled
Red Wine;Crozes Hermitage, Red;Wild Boar Grilled
Red Wine;Chateauneuf du Pape, Red;Wild Boar Grilled
Red Wine;Barolo;Wild Boar Grilled
Red Wine;Barbaresco DOCG;Wild Boar Grilled
Red Wine;Zinfandel;Wild Boar Barbecued
Red Wine;Syrah;Wild Boar Barbecued
Red Wine;Super Tuscan;Wild Boar Barbecued
Red Wine;Shiraz;Wild Boar Barbecued
Red Wine;Cabernet Sauvignon;Wild Boar Barbecued
Red Wine;Barolo;Wild Boar Barbecued
Red Wine;Barbaresco DOCG;Wild Boar Barbecued
Red Wine;Zinfandel;Wild Boar
White Wine;White Wine;Wild Boar
Red Wine;Syrah;Wild Boar
Red Wine;Super Tuscan;Wild Boar
Red Wine;Shiraz;Wild Boar
Other;Rioja, Red or White;Wild Boar
Red Wine;Ribera del Duero, Red;Wild Boar
Red Wine;Rhone, Red Wine;Wild Boar
Red Wine;Malbec;Wild Boar
Beer;English Brown Ale;Wild Boar
Red Wine;Crozes Hermitage, Red;Wild Boar
Red Wine;Cornas AOC;Wild Boar
Red Wine;Chianti Classico, Riserva DOCG;Wild Boar
Red Wine;Chianti Classico DOCG;Wild Boar
Red Wine;Chateauneuf du Pape, Red;Wild Boar
Red Wine;Cabernet Sauvignon;Wild Boar
Red Wine;Barolo;Wild Boar
Red Wine;Barbera DOC;Wild Boar
Red Wine;Barbaresco DOCG;Wild Boar
Red Wine;Zinfandel;Wiener Schnitzel
White Wine;Sauvignon Blanc;Wiener Schnitzel
White Wine;Sancerre;Wiener Schnitzel
White Wine;Riesling;Wiener Schnitzel
Beer;Pilsner;Wiener Schnitzel
White Wine;Gruner Veltliner;Wiener Schnitzel
White Wine;Chenin Blanc;White Sausage
White Wine;Soave (Superiore);White Pizza
Beer;Hefeweizen/Hefeweissbier;White Pizza
Beer;Doppelbock;White Pizza
Red Wine;Dolcetto d'Alba Superiore DOC;White Onion Soup
Red Wine;Dolcetto d'Alba DOC;White Onion Soup
Dessert Wine;Muscat de Beaumes-de-Venise;White Chocolate
Dessert Wine;Moscato d'Asti;White Chocolate
Dessert Wine;Late Harvest Wines;White Chocolate
Sparkling Wine;Sparkling Wine;White Beans
Red Wine;Red Wine;White Beans
Beer;English Brown Ale;White Beans
White Wine;Chablis;White Beans
White Wine;Burgundy, White;White Beans
White Wine;Chardonnay;White Bean Salad
White Wine;Sauvignon Blanc;White Asparagus
White Wine;Riesling, Grand Cru, Alsace;White Asparagus
White Wine;Pinot Bianco;White Asparagus
White Wine;Muscat;White Asparagus
Sparkling Wine;Champagne;White Asparagus
White Wine;Kabinett Riesling;Watermelon
Sparkling Wine;Champagne, Rose;Watermelon
Sparkling Wine;Champagne, Demi-Sec;Watermelon
Red Wine;Zinfandel;Wasabi
Sparkling Wine;Sparkling Wine;Wasabi
White Wine;Sauvignon Blanc;Wasabi
Beer;Sake;Wasabi
White Wine;Riesling;Wasabi
White Wine;Gewurztraminer;Wasabi
Sparkling Wine;Champagne;Wasabi
Sparkling Wine;Cava;Wasabi
Sherry;Sherry, Oloroso;Walnuts
Sherry;Sherry, Manzanilla;Walnuts
Sherry;Sherry, Fino;Walnuts
White Wine;Riesling;Walnuts
Port;Port, Vintage;Walnuts
Port;Port, Tawny;Walnuts
Red Wine;Pinot Noir;Walnuts
Red Wine;Merlot;Walnuts
Fortified Wine;Madeira;Walnuts
White Wine;Chardonnay;Walnuts
Red Wine;Cabernet Sauvignon;Walnuts
Tea;Tea;Walnut Desserts
Sherry;Sherry, Oloroso;Walnut Desserts
Port;Port, Tawny;Walnut Desserts
Port;Port, Ruby;Walnut Desserts
Dessert Wine;Muscat;Walnut Desserts
Fortified Wine;Madeira, Malmsey;Walnut Desserts
Coffee;Coffee;Walnut Desserts
Liquor;Amaretto;Walnut Desserts
Sparkling Wine;Sparkling Wine;Vinaigrette Based Salad
White Wine;Chablis;Vinaigrette Based Salad
White Wine;Vinho Verde;Vinaigrette
White Wine;Verdicchio;Vinaigrette
White Wine;Sauvignon Blanc;Vinaigrette
White Wine;Riesling;Vinaigrette
White Wine;Pinot Grigio;Vinaigrette
White Wine;Chardonnay;Vinaigrette
Sparkling Wine;Champagne;Vinaigrette
White Wine;Chablis;Vinaigrette
Beer;Beer;Vinaigrette
White Wine;Sauvignon Blanc;Vietnamese Cuisine with Seafood
Red Wine;Barolo;Vietnamese Cuisine With Beef
Red Wine;Barbaresco DOCG;Vietnamese Cuisine With Beef
White Wine;Sauvignon Blanc;Vietnamese Cuisine Vegetarian
Red Wine;Zinfandel;Vietnamese Cuisine
Red Wine;White Zinfandel;Vietnamese Cuisine
White Wine;Viognier;Vietnamese Cuisine
Tea;Tea;Vietnamese Cuisine
White Wine;Sauvignon Blanc;Vietnamese Cuisine
White Wine;Riesling;Vietnamese Cuisine
White Wine;Pinot Gris;Vietnamese Cuisine
White Wine;Gruner Veltliner;Vietnamese Cuisine
Pop;Gingerale;Vietnamese Cuisine
White Wine;Gewurztraminer;Vietnamese Cuisine
Beer;Chimay;Vietnamese Cuisine
White Wine;Chenin Blanc;Vietnamese Cuisine
White Wine;Chardonnay, Unoaked;Vietnamese Cuisine
Red Wine;Burgundy, Red;Vietnamese Cuisine
Red Wine;Barolo;Vietnamese Cuisine
Red Wine;Barbaresco DOCG;Vietnamese Cuisine
Red Wine;Syrah;Vermont Shepherd Cheese
White Wine;Riesling;Vermont Shepherd Cheese
Port;Port, Vintage;Vermont Shepherd Cheese
Port;Port, Tawny;Vermont Shepherd Cheese
Red Wine;Pinot Noir;Vermont Shepherd Cheese
White Wine;Chardonnay;Vermont Shepherd Cheese
Beer;Amber Ale;Venison Shepards Pie
Red Wine;Cote Rotie (AOC);Venison Roasted
Red Wine;Zinfandel;Venison
Red Wine;Syrah;Venison
Red Wine;Shiraz;Venison
Sherry;Sherry, Oloroso;Venison
Red Wine;Ripasso Valpolicella;Venison
Red Wine;Rhone, Red Wine;Venison
Red Wine;Pinot Noir;Venison
Red Wine;Petite Sirah;Venison
Red Wine;Merlot;Venison
Red Wine;Hermitage, Red;Venison
Red Wine;Gigondas;Venison
Beer;English Brown Ale;Venison
Beer;Doppelbock;Venison
Beer;Dark Ale;Venison
Tea;Darjeeling;Venison
Sparkling Wine;Champagne, Rose;Venison
Red Wine;Chateauneuf du Pape, Red;Venison
Red Wine;Cabernet Sauvignon;Venison
Red Wine;Cote Rotie (AOC);Venison
Red Wine;Bordeaux AOC Red;Venison
Red Wine;Barolo;Venison
Red Wine;Barbaresco DOCG;Venison
Red Wine;Amarone;Venison
Beer;Ale;Venison
Rose;Rose;Veggie Burgers
Beer;Pilsner;Veggie Burgers
Beer;Lager;Veggie Burgers
Beer;Cider;Veggie Burgers
White Wine;Sauvignon Blanc;Vegetarian Stir Fry
White Wine;Riesling;Vegetarian Stir Fry
Red Wine;Pinot Noir;Vegetarian Stir Fry
White Wine;Chardonnay;Vegetarian Stir Fry
White Wine;Sauvignon Blanc;Vegetarian Lasagna
White Wine;Sauvignon Blanc;Vegetarian Dishes with Goat Cheese
White Wine;Sancerre;Vegetarian Dishes with Goat Cheese
White Wine;Chardonnay;Vegetarian Dishes that are Creamy
Beer;Beer;Vegetarian Dishes that are Creamy
White Wine;Sauvignon Blanc;Vegetarian Dishes Stir Fried
Beer;Sake;Vegetarian Dishes Steamed
Red Wine;Zinfandel;Vegetarian Dishes Grilled
Rose;Rosedo;Vegetarian Dishes Grilled
Rose;Rose;Vegetarian Dishes Grilled
Red Wine;Merlot;Vegetarian Dishes Grilled
White Wine;Chardonnay;Vegetarian Dishes Grilled
Red Wine;Beaujolais;Vegetarian Dishes Grilled
White Wine;Viognier;Vegetarian Dishes
Sparkling Wine;Sparkling Wine;Vegetarian Dishes
White Wine;Sauvignon Blanc;Vegetarian Dishes
Rose;Rose;Vegetarian Dishes
White Wine;Riesling;Vegetarian Dishes
White Wine;Pinot Gris;Vegetarian Dishes
Red Wine;Merlot;Vegetarian Dishes
White Wine;Gruner Veltliner;Vegetarian Dishes
White Wine;Chardonnay, Unoaked;Vegetarian Dishes
Sparkling Wine;Champagne, Rose;Vegetarian Dishes
Red Wine;Bordeaux AOC Red;Vegetarian Dishes
Red Wine;Beaujolais;Vegetarian Dishes
Red Wine;Merlot;Vegetarian Bean Dishes
White Wine;Verdejo;Vegetable Soup
White Wine;Soave (Superiore);Vegetable Soup
White Wine;Sauvignon Blanc;Vegetable Soup
White Wine;Vouvray;Veal with Morels
White Wine;Pinot Gris;Veal with Morels
White Wine;Chardonnay;Veal with Morels
Red Wine;Burgundy, Red;Veal with Morels
White Wine;Riesling;Veal With Cream Sauce
White Wine;Pinot Gris;Veal With Cream Sauce
White Wine;Chardonnay;Veal With Cream Sauce
White Wine;Burgundy, White;Veal With Cream Sauce
White Wine;Chardonnay;Veal With Citrus Sauce
White Wine;Chablis;Veal With Citrus Sauce
Beer;Amber Ale;Veal Schnitzel
Sparkling Wine;Sparkling Wine, Brut;Veal Scallopine
White Wine;Soave (Superiore);Veal Scallopine
White Wine;Rioja, White;Veal Scallopine
White Wine;Pinot Grigio;Veal Scallopine
Red Wine;Dolcetto d'Alba Superiore DOC;Veal Rollatine
Red Wine;Dolcetto d'Alba DOC;Veal Rollatine
Red Wine;Valpolicella;Veal Roasted
Red Wine;Pinot Noir;Veal Roasted
White Wine;Pinot Gris;Veal Roasted
Red Wine;Merlot;Veal Roasted
Red Wine;Grenache;Veal Roasted
Red Wine;Chianti Classico DOCG;Veal Roasted
White Wine;Chardonnay;Veal Roasted
Red Wine;Cabernet Sauvignon;Veal Roasted
White Wine;Burgundy, White;Veal Roasted
Red Wine;Burgundy, Red;Veal Roasted
Red Wine;Brunello di Montalcino (DOCG);Veal Roasted
Red Wine;Bordeaux AOC Red;Veal Roasted
Red Wine;Chianti DOCG;Veal Parmesan
Red Wine;Brunello di Montalcino (DOCG);Veal Parmesan
White Wine;Burgundy, White;Veal Loin Roasted
Red Wine;Bordeaux AOC Red;Veal Loin Roasted
Red Wine;Zinfandel;Veal Grilled
Red Wine;Syrah;Veal Grilled
Red Wine;Rioja, Red;Veal Grilled
Red Wine;Malbec;Veal Grilled
Red Wine;Burgundy, Red;Veal Grilled
Red Wine;Rioja, Red;Veal Chops
Red Wine;Pinot Noir;Veal Chops
Red Wine;Cabernet Sauvignon;Veal Chops
Red Wine;Burgundy, Red;Veal Chops
Red Wine;Bordeaux AOC Red;Veal Chops
Red Wine;Barolo;Veal Chops
Red Wine;Appassimento;Veal Chops
Red Wine;Syrah;Veal Braised Shanks or Shoulder
Red Wine;Super Tuscan;Veal Braised Shanks or Shoulder
Red Wine;Pinot Noir;Veal Braised Shanks or Shoulder
Red Wine;Cotes du Rhone, Red;Veal Braised Shanks or Shoulder
Red Wine;Bordeaux AOC Red;Veal Braised Shanks or Shoulder
Red Wine;Zinfandel;Veal
White Wine;Vouvray;Veal
White Wine;Soave (Superiore);Veal
Red Wine;Sangiovese;Veal
White Wine;Riesling;Veal
Red Wine;Pinot Noir;Veal
White Wine;Pinot Gris;Veal
Red Wine;Merlot;Veal
Red Wine;Gamay;Veal
Red Wine;Dolcetto;Veal
Beer;Cider;Veal
Red Wine;Chianti DOCG;Veal
White Wine;Chardonnay;Veal
Sparkling Wine;Champagne, Rose;Veal
Red Wine;Cabernet Sauvignon;Veal
Red Wine;Cabernet Franc;Veal
White Wine;Burgundy, White;Veal
Red Wine;Burgundy, Red;Veal
Red Wine;Brunello di Montalcino (DOCG);Veal
Red Wine;Bordeaux AOC Red;Veal
Beer;Beer;Veal
Red Wine;Beaujolais;Veal
Tea;Tea;Vanilla
Sparkling Wine;Sparkling Wine;Vanilla
Sherry;Sherry, PX;Vanilla
Port;Port, Tawny;Vanilla
Dessert Wine;Moscato d'Asti;Vanilla
Dessert Wine;Late Harvest Riesling;Vanilla
Dessert Wine;Ice Wine;Vanilla
Dairy;Hot Chocolate;Vanilla
Coffee;Coffee;Vanilla
White Wine;Chardonnay;Vanilla
Sparkling Wine;Champagne;Vanilla
White Wine;Burgundy, White;Vanilla
Dessert Wine;Banyuls;Vanilla
Red Wine;Zinfandel;Valdeon Cheese
Sherry;Sherry, Sweet;Valdeon Cheese
Dessert Wine;Sauternes;Valdeon Cheese
White Wine;Muscat;Valdeon Cheese
Dessert Wine;Late Harvest Wines;Valdeon Cheese
Red Wine;Jumilla, Red;Valdeon Cheese
Red Wine;Gamay;Valdeon Cheese
Red Wine;Beaujolais, Cru;Valdeon Cheese
White Wine;Vin Juane;Vacherin Mont D'or Cheese
White Wine;Riesling, Alsace;Vacherin Cheese
White Wine;Puligny-Montrachet, White;Vacherin Cheese
Red Wine;Pinot Noir;Vacherin Cheese
White Wine;Pinot Gris, Alsace;Vacherin Cheese
White Wine;Pinot Gris;Vacherin Cheese
White Wine;Chardonnay;Vacherin Cheese
Sparkling Wine;Champagne, Blanc de blancs;Vacherin Cheese
White Wine;Chablis;Vacherin Cheese
White Wine;Burgundy, White;Vacherin Cheese
Red Wine;Burgundy, Red;Vacherin Cheese
Red Wine;Bordeaux AOC Red;Vacherin Cheese
Red Wine;Beaujolais;Vacherin Cheese
Red Wine;Pinot Noir;Turkey Sausage
White Wine;Gewurztraminer;Turkey Sausage
White Wine;Chardonnay;Turkey Sausage
Red Wine;Beaujolais;Turkey Sausage
Red Wine;Zinfandel;Turkey Sandwich
White Wine;White Zinfandel;Turkey Sandwich
Rose;Rose;Turkey Sandwich
White Wine;Riesling;Turkey Sandwich
White Wine;Chardonnay;Turkey Sandwich
Red Wine;Beaujolais;Turkey Sandwich
Red Wine;Zinfandel;Turkey Roasted
White Wine;Vouvray;Turkey Roasted
Red Wine;Syrah;Turkey Roasted
Red Wine;Shiraz;Turkey Roasted
White Wine;Sauvignon Blanc;Turkey Roasted
Red Wine;Rioja, Red;Turkey Roasted
White Wine;Riesling;Turkey Roasted
Red Wine;Pinot Noir;Turkey Roasted
Red Wine;Merlot;Turkey Roasted
White Wine;Gewurztraminer;Turkey Roasted
Red Wine;Coteaux du Languedoc, Red AOC;Turkey Roasted
White Wine;Chardonnay;Turkey Roasted
Red Wine;Cabernet Sauvignon;Turkey Roasted
Red Wine;Cote Rotie (AOC);Turkey Roasted
White Wine;Burgundy, White;Turkey Roasted
Red Wine;Beaujolais;Turkey Roasted
White Wine;Riesling;Turkey Leftovers
Red Wine;Pinot Noir;Turkey Leftovers
Red Wine;Beaujolais;Turkey Leftovers
Rose;Rose;Turkey Hash
White Wine;Riesling, Alsace;Turkey Hash
White Wine;Riesling;Turkey Hash
Sparkling Wine;Sparkling Wine;Turkey Club Sandwich
Rose;Rose;Turkey Club Sandwich
White Wine;Chardonnay;Turkey Club Sandwich
Red Wine;Pinot Noir;Turkey Burgers
Red Wine;Zinfandel;Turkey
White Wine;Vouvray;Turkey
Red Wine;Syrah;Turkey
Red Wine;Shiraz;Turkey
White Wine;Sauvignon Blanc;Turkey
Red Wine;Rioja, Red;Turkey
White Wine;Riesling;Turkey
Red Wine;Pinot Noir;Turkey
Red Wine;Merlot;Turkey
White Wine;Gewurztraminer;Turkey
White Wine;Chardonnay;Turkey
Red Wine;Cabernet Sauvignon;Turkey
White Wine;Burgundy, White;Turkey
Red Wine;Beaujolais;Turkey
Sparkling Wine;Sparkling Wine;Turbot Poached
Sparkling Wine;Champagne;Turbot Poached
White Wine;Chardonnay;Turbot Grilled
White Wine;Chardonnay;Turbot
Beer;American Wheat Beer;Turbot
Red Wine;Chianti DOCG;Tuna with Pesto
White Wine;Chardonnay;Tuna with Pesto
White Wine;Viognier;Tuna Tartare
White Wine;Sauvignon Blanc;Tuna Tartare
White Wine;Riesling;Tuna Tartare
White Wine;Pinot Gris;Tuna Tartare
White Wine;Kabinett Riesling;Tuna Tartare
Sparkling Wine;Champagne, Rose;Tuna Tartare
Sparkling Wine;Champagne, Brut;Tuna Tartare
Rose;Rose;Tuna Steak
Red Wine;Pinot Noir;Tuna Steak
Rose;Rose;Tuna Salad Sandwich
Tea;Tea, Green;Tuna Grilled
White Wine;Sauvignon Blanc;Tuna Grilled
Red Wine;Pinot Noir;Tuna Grilled
Red Wine;Merlot;Tuna Grilled
Red Wine;Cabernet Sauvignon;Tuna Grilled
Red Wine;Cotes du Rhone, Red;Tuna Grilled
Beer;Beer;Tuna Grilled
White Wine;Riesling;Tuna Ceviche
White Wine;Muscadet;Tuna Ceviche
White Wine;Chenin Blanc;Tuna Ceviche
White Wine;Chardonnay, Unoaked;Tuna Casserole
Red Wine;Beaujolais;Tuna Casserole
White Wine;Viognier;Tuna Carpaccio
Sparkling Wine;Sparkling Wine;Tuna Carpaccio
White Wine;Sauvignon Blanc;Tuna Carpaccio
White Wine;Pinot Gris;Tuna Carpaccio
White Wine;Kabinett Riesling;Tuna Carpaccio
Sparkling Wine;Champagne, Rose;Tuna Carpaccio
Sparkling Wine;Champagne, Brut;Tuna Carpaccio
Red Wine;Zinfandel;Tuna
White Wine;Viognier;Tuna
Red Wine;Shiraz;Tuna
White Wine;Sauvignon Blanc;Tuna
Rose;Rose;Tuna
White Wine;Riesling;Tuna
Red Wine;Merlot;Tuna
Red Wine;Gigondas;Tuna
White Wine;Chardonnay, Unoaked;Tuna
Sparkling Wine;Champagne, Rose;Tuna
Red Wine;Chateauneuf du Pape, Red;Tuna
Red Wine;Cabernet Sauvignon;Tuna
Red Wine;Cabernet Franc;Tuna
White Wine;Burgundy, White;Tuna
Red Wine;Beaujolais;Tuna
Red Wine;Ribera del Duero, Red;Truffles
Red Wine;Pomerol;Truffles
Red Wine;Pinot Noir;Truffles
Red Wine;Pauillac (AOC);Truffles
Red Wine;Dolcetto;Truffles
White Wine;Chardonnay;Truffles
Sparkling Wine;Champagne, Brut;Truffles
Red Wine;Cotes du Rhone, Red;Truffles
White Wine;Burgundy, White;Truffles
Red Wine;Burgundy, Red;Truffles
Red Wine;Barolo;Truffles
Red Wine;Barbera DOC;Truffles
Red Wine;Barbaresco DOCG;Truffles
Red Wine;Dolcetto d'Alba Superiore DOC;Truffled Canapes with Cheese
Red Wine;Dolcetto d'Alba DOC;Truffled Canapes with Cheese
Sparkling Wine;Sparkling Wine;Trout Smoked
Sherry;Sherry, Manzanilla;Trout Smoked
Sherry;Sherry, Fino;Trout Smoked
White Wine;Sauvignon Blanc;Trout Smoked
White Wine;Sancerre;Trout Smoked
White Wine;Riesling;Trout Smoked
Beer;Pilsner;Trout Smoked
Beer;Pale Ale;Trout Smoked
Beer;Lager;Trout Smoked
White Wine;Gewurztraminer;Trout Smoked
White Wine;Chardonnay;Trout Smoked
Sparkling Wine;Champagne;Trout Smoked
White Wine;Riesling, Alsace;Trout Sauteed
White Wine;Riesling;Trout Sauteed
Sparkling Wine;Champagne, Blanc de blancs;Trout in a Soy Sauce
White Wine;Chardonnay, Unoaked;Trout in a Lemon Sauce
White Wine;Bordeaux AOC White;Trout in a Lemon Sauce
White Wine;Kabinett Riesling;Trout in a Cream Sauce
White Wine;Meursault;Trout in a Butter Sauce
White Wine;Kabinett Riesling;Trout in a Butter Sauce
White Wine;Bordeaux AOC White;Trout in a Butter Sauce
White Wine;Riesling, Alsace;Trout Grilled
White Wine;Riesling;Trout Grilled
White Wine;Kabinett Riesling;Trout Grilled
White Wine;Chenin Blanc;Trout Grilled
White Wine;Vouvray;Trout
Sparkling Wine;Sparkling Wine;Trout
White Wine;Sauvignon Blanc;Trout
White Wine;Sancerre;Trout
Sparkling Wine;Prosecco;Trout
White Wine;Pouilly Fume;Trout
White Wine;Pinot Gris;Trout
White Wine;Pinot Blanc;Trout
White Wine;Pinot Bianco;Trout
White Wine;Jurancon, Dry AOC;Trout
White Wine;Gewurztraminer;Trout
White Wine;Chablis;Trout
White Wine;Sauvignon Blanc;Tropical Fruit
Liquor;Rum, Dark;Tropical Fruit
Liquor;Rum and Rum Based Drinks;Tropical Fruit
White Wine;Muscat;Tropical Fruit
Juice;Lime Based Drinks;Tropical Fruit
Juice;Lemon Based Drinks;Tropical Fruit
Dessert Wine;Late Harvest White Wines;Tropical Fruit
Liquor;Kirsh;Tropical Fruit
Dessert Wine;Ice Wine;Tropical Fruit
White Wine;Gewurztraminer;Tropical Fruit
Liquor;Cointreau and Cointreau based Cocktails;Tropical Fruit
Sparkling Wine;Champagne, Demi-Sec;Tropical Fruit
Beer;Belgian Lambic Raspberry Flavoured;Tropical Fruit
Sparkling Wine;Asti (DOCG), Frizzante or Spumante;Tropical Fruit
Sparkling Wine;Sparkling Wine;Triple Cr?me Cheese
Fortified Wine;Madeira;Triple Cr?me Cheese
Sparkling Wine;Champagne, Blanc de blancs;Triple Cr?me Cheese
Beer;Beer;Triple Cr?me Cheese
White Wine;Jurancon, Dry AOC;Tourmalet Cheese
Sparkling Wine;Sparkling Wine;Tortilla Chips
White Wine;Sauvignon Blanc;Tortilla Chips
Sparkling Wine;Prosecco;Tortilla Chips
Sparkling Wine;Champagne;Tortilla Chips
Sherry;Sherry, PX;Torta Del Casar Cheese
Sherry;Sherry, Oloroso;Torta Del Casar Cheese
Sherry;Sherry, Manzanilla;Torta Del Casar Cheese
Sherry;Sherry, Fino;Torta Del Casar Cheese
Red Wine;Burgundy, Red;Torta Del Casar Cheese
Beer;Sake;Toro
White Wine;Sauvignon Blanc;Tomatoes Raw
Rose;Rose;Tomatoes Raw
White Wine;Riesling;Tomatoes Raw
White Wine;Pinot Grigio;Tomatoes Raw
White Wine;Gewurztraminer;Tomatoes Raw
Rose;Bandol Rose AOC;Tomatoes Raw
Rose;Cotes de Provence, Rose AOC;Tomatoes Provencale
White Wine;Verdejo;Tomatoes
Red Wine;Sangiovese;Tomatoes
Red Wine;Pinot Noir;Tomatoes
Red Wine;Chianti DOCG;Tomatoes
Red Wine;Barbera DOC;Tomatoes
White Wine;Albarino;Tomatoes
White Wine;Verdejo;Tomato Soup
White Wine;Sauvignon Blanc;Tomato Soup
Rose;Rose;Tomato Soup
White Wine;Gewurztraminer;Tomato Soup
Red Wine;Chianti DOCG;Tomato Soup
White Wine;Sauvignon Blanc;Tomato Sauce
Red Wine;Sangiovese;Tomato Sauce
Red Wine;Chianti DOCG;Tomato Sauce
Red Wine;Barbera DOC;Tomato Sauce
White Wine;Sauvignon Blanc;Tomato Salad
Rose;Rose;Tomato Salad
Beer;Belgian Gueuze Lambic;Tomato Salad
Red Wine;Barbera DOC;Tomato Salad
White Wine;Vinho Verde;Tomato and Mozzarella Sandwich
White Wine;Sauvignon Blanc;Tomatillos
White Wine;Riesling;Tomatillos
White Wine;Pouilly Fume;Tomatillos
Red Wine;Cotes du Rhone, Red;Tomatillos
Red Wine;Burgundy, Red;Tomatillos
Beer;Sake;Tofu
Tea;Oolong;Tofu
Dessert Wine;Vin Santo;Tiramisu
Sherry;Sherry, Sweet;Tiramisu
Dessert Wine;Sauternes;Tiramisu
Port;Port, Tawny;Tiramisu
Dessert Wine;Muscat, Sweet;Tiramisu
Dessert Wine;Moscato d'Asti;Tiramisu
Fortified Wine;Madeira, Malmsey;Tiramisu
Red Wine;Zinfandel;Thyme
Red Wine;Syrah;Thyme
White Wine;Sauvignon Blanc;Thyme
Red Wine;Pinot Noir;Thyme
White Wine;Pinot Gris;Thyme
White Wine;Pinot Grigio;Thyme
Red Wine;Merlot;Thyme
Red Wine;Gigondas;Thyme
White Wine;Chardonnay;Thyme
Sparkling Wine;Champagne, Rose;Thyme
Red Wine;Chateauneuf du Pape, Red;Thyme
Red Wine;Cabernet Sauvignon;Thyme
Beer;Beer;Thyme
White Wine;Vouvray;Thai Cuisine
Red Wine;Syrah;Thai Cuisine
Sparkling Wine;Sparkling Wine;Thai Cuisine
White Wine;Spatlese Riesling;Thai Cuisine
Red Wine;Shiraz;Thai Cuisine
White Wine;Sauvignon Blanc;Thai Cuisine
Rose;Rose;Thai Cuisine
White Wine;Riesling;Thai Cuisine
Red Wine;Pinot Noir;Thai Cuisine
White Wine;Pinot Gris;Thai Cuisine
White Wine;Pinot Grigio;Thai Cuisine
White Wine;Pinot Blanc;Thai Cuisine
White Wine;Pinot Bianco;Thai Cuisine
Beer;Pilsner;Thai Cuisine
Red Wine;Nero d'Avola;Thai Cuisine
White Wine;Gruner Veltliner;Thai Cuisine
White Wine;Gewurztraminer;Thai Cuisine
White Wine;Chardonnay;Thai Cuisine
Sparkling Wine;Champagne, Brut;Thai Cuisine
White Wine;Chablis;Thai Cuisine
Red Wine;Beaujolais;Thai Cuisine
Beer;Ale;Thai Cuisine
White Wine;Riesling, Spatlese;Thai Chilie
White Wine;Sauvignon Blanc;Thai Basil
White Wine;Sauvignon Blanc;Tex Mex Cuisine
Beer;Beer;Tex Mex Cuisine
Red Wine;Beaujolais;Tex Mex Cuisine
White Wine;Albarino;Tetilla Cheese
